Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
289,0.01,0.01,0.00,0.01,0.09
290,0.01,0.01,0.00,0.01,0.09
291,0.01,0.01,0.00,0.01,0.09
292,0.01,0.01,0.00,0.01,0.09
293,0.01,0.01,0.00,0.01,0.09
294,0.01,0.01,0.00,0.01,0.08
295,0.01,0.01,0.00,0.01,0.08
296,0.01,0.01,0.00,0.01,0.08
297,0.01,0.01,0.00,0.01,0.08
298,0.01,0.01,0.00,0.01,0.08
299,0.01,0.01,0.00,0.01,0.08
300,0.01,0.01,0.00,0.01,0.07
301,0.01,0.01,0.00,0.01,0.07
302,0.01,0.01,0.00,0.01,0.07
303,0.01,0.01,0.00,0.01,0.07
304,0.01,0.00,0.00,0.00,0.06
305,0.01,0.00,0.00,0.00,0.06
306,0.01,0.00,0.00,0.00,0.06
307,0.00,0.00,0.00,0.00,0.06
308,0.00,0.00,0.00,0.00,0.06
309,0.00,0.00,0.00,0.00,0.06
310,0.00,0.00,0.00,0.00,0.05
311,0.00,0.00,0.00,0.00,0.05
312,0.00,0.00,0.00,0.00,0.05
313,0.00,0.00,0.00,0.00,0.05
314,0.00,0.00,0.00,0.00,0.05
315,0.00,0.00,0.00,0.00,0.04
316,0.00,0.00,0.00,0.00,0.03
317,0.00,0.00,0.00,0.00,0.03
318,0.00,0.00,0.00,0.00,0.03
319,0.00,0.00,0.00,0.00,0.02
320,0.00,0.00,0.00,0.00,0.02
321,0.00,0.00,0.00,0.00,0.02
322,0.00,0.00,0.00,0.00,0.02
323,0.00,0.00,0.00,0.00,0.01
324,0.00,0.00,0.00,0.00,0.01
325,0.00,0.00,0.00,0.00,0.01
326,0.00,0.00,0.00,0.00,0.00
327,0.00,0.00,0.00,0.00,0.00
328,0.00,0.00,0.00,0.00,0.00
329,0.00,0.00,0.00,0.00,0.00
330,0.00,0.00,0.00,0.00,0.00
331,0.00,0.00,0.00,0.00,0.00
332,0.00,0.00,0.00,0.00,0.00
333,0.00,0.00,0.00,0.00,0.00
334,0.00,0.00,0.00,0.00,0.00
335,0.00,0.00,0.00,0.00,0.00
336,0.00,0.00,0.00,0.00,0.00
337,0.00,0.00,0.00,0.00,0.00
338,0.00,0.00,0.00,0.00,0.00
339,0.00,0.00,0.00,0.00,0.00
340,0.00,0.00,0.00,0.00,0.00
341,0.00,0.00,0.00,0.00,0.00
342,0.00,0.00,0.00,0.00,0.00
