Nodes,Degree Removal %,Betweenness Removal %,Weighted Betweenness Removal %,Efficiency Removal,Random Removal
286,0.27,0.19,0.35,0.25,0.71
287,0.26,0.18,0.35,0.25,0.71
288,0.25,0.17,0.35,0.26,0.71
289,0.24,0.17,0.35,0.25,0.71
290,0.25,0.18,0.33,0.25,0.72
291,0.25,0.17,0.33,0.23,0.72
292,0.24,0.16,0.32,0.23,0.72
293,0.24,0.16,0.32,0.23,0.73
294,0.23,0.15,0.31,0.23,0.73
295,0.22,0.16,0.30,0.21,0.74
296,0.22,0.15,0.28,0.21,0.74
297,0.22,0.16,0.28,0.20,0.75
298,0.20,0.16,0.27,0.19,0.75
299,0.19,0.15,0.26,0.19,0.76
300,0.20,0.15,0.25,0.18,0.76
301,0.20,0.16,0.26,0.18,0.75
302,0.17,0.15,0.27,0.19,0.75
303,0.17,0.14,0.29,0.19,0.74
304,0.12,0.13,0.29,0.16,0.74
305,0.13,0.13,0.27,0.11,0.73
306,0.12,0.13,0.28,0.11,0.74
307,0.09,0.11,0.24,0.12,0.74
308,0.09,0.11,0.26,0.09,0.75
309,0.08,0.09,0.27,0.08,0.75
310,0.08,0.06,0.29,0.07,0.76
311,0.08,0.06,0.31,0.08,0.77
312,0.08,0.05,0.33,0.08,0.77
313,0.08,0.04,0.35,0.08,0.79
314,0.07,0.03,0.35,0.07,0.79
315,0.07,0.03,0.35,0.06,0.80
316,0.07,0.03,0.34,0.07,0.79
317,0.05,0.03,0.32,0.07,0.79
318,0.06,0.03,0.32,0.05,0.79
319,0.06,0.03,0.34,0.05,0.79
320,0.06,0.03,0.38,0.06,0.79
321,0.07,0.04,0.37,0.06,0.80
322,0.07,0.04,0.33,0.07,0.80
323,0.07,0.04,0.32,0.07,0.82
324,0.07,0.04,0.29,0.07,0.85
325,0.05,0.05,0.29,0.05,0.87
326,0.05,0.05,0.29,0.02,0.89
327,0.02,0.02,0.21,0.02,0.89
328,0.03,0.03,0.22,0.03,0.92
329,0.03,0.03,0.22,0.03,0.92
330,0.04,0.02,0.18,0.04,0.93
331,0.02,0.00,0.15,0.02,0.94
332,0.00,0.00,0.16,0.00,0.94
333,0.00,0.00,0.20,0.00,0.96
334,0.00,0.00,0.26,0.00,0.95
335,0.00,0.00,0.35,0.00,0.93
336,0.00,0.00,0.33,0.00,0.93
337,0.00,0.00,0.25,0.00,0.90
338,0.00,0.00,0.17,0.00,1.00
339,0.00,0.00,0.33,0.00,1.00
340,0.00,0.00,0.00,0.00,1.00
341,0.00,0.00,0.00,0.00,0.00
342,0.00,0.00,0.00,0.00,0.00
